"year","fips","total_population","state_name","abbr","pack_sales_per_capita","tax_per_pack","baseline_price_per_pack","total_cigarette_consumption","baseline_state_tax_revenue","baseline_num_smokers","baseline_prev","census_total_pop","baseline_avg_smoking_intensity","policy_prev","pct_increase_price_per_pack","pct_reduction_intensity","policy_smoking_intensity","policy_num_smokers","policy_total_cig_consumption","policy_state_tax_revenue","revenue_gain"
2035,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,570589.758973905,0.113215016750192,5039877,469.019053516239,0.106165651753889,0.235849056603774,-0.0471698113207547,446.895513256039,535061.826464434,239116729.561537,639637251.577112,458995460.204612
2036,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,565237.484567157,0.112153031625009,5039877,473.460228677038,0.105059410700505,0.235849056603774,-0.0471698113207547,451.127199022461,529486.507623027,238865765.104161,638965921.65363,458324130.28113
2037,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,560290.60086506,0.111171483126485,5039877,477.640474937135,0.104062873976899,0.235849056603774,-0.0471698113207547,455.110263855194,524464.085110072,238688988.157018,638493043.320023,457851251.947523
2038,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,555733.022903314,0.110267179715559,5039877,481.557614305313,0.103164733126078,0.235849056603774,-0.0471698113207547,458.842632498459,519937.565693261,238569521.377536,638173469.684909,457531678.312409
2039,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,551548.035219751,0.109436804751336,5039877,485.211534827378,0.102355453858002,0.235849056603774,-0.0471698113207547,462.324198278917,515858.897723507,238494051.315066,637971587.267802,457329795.895302
2040,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,547718.296830793,0.1086769174785,5039877,488.604215430611,0.101626853360566,0.235849056603774,-0.0471698113207547,465.556846778224,512186.840834288,238452090.580111,637859342.301797,457217550.929297
2041,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,544225.867785454,0.107983958296096,5039877,491.739706877551,0.100971778042237,0.235849056603774,-0.0471698113207547,468.544437685214,508885.341804176,238435396.321886,637814685.161044,457172893.788544
2042,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,541052.280424914,0.107354262896677,5039877,494.624047217447,0.100383863467782,0.235849056603774,-0.0471698113207547,471.292724235492,505922.324662412,238437510.641701,637820340.966551,457178549.594051
2043,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,538178.605199785,0.106784075325605,5039877,497.265157169624,0.0998573492183508,0.235849056603774,-0.0471698113207547,473.809253529547,503268.757606534,238453394.366295,637862829.929838,457221038.557338
2044,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,535585.547880728,0.106269567269346,5039877,499.672684894023,0.099386943134642,0.235849056603774,-0.0471698113207547,476.103218625437,500897.96880459,238479135.150809,637931686.528414,457289895.155914
2045,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,533253.54337944,0.105806856671193,5039877,501.857834837818,0.098967718770653,0.235849056603774,-0.0471698113207547,478.185295458675,498785.129574682,238511714.556063,638018836.437469,457377045.064969
2046,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,531162.881633466,0.105392032709026,5039877,503.833151663395,0.0985950447448659,0.235849056603774,-0.0471698113207547,480.067436962291,496906.898323621,238548821.087103,638118096.407999,457476305.035499
2047,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,529293.856891198,0.105021185416072,5039877,505.612270416,0.0982645389496375,0.235849056603774,-0.0471698113207547,481.762635019019,495241.189767882,238588700.552529,638224773.978015,457582982.605515
2048,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,527626.928299101,0.10469043754423,5039877,507.209648231398,0.0979720405394389,0.235849056603774,-0.0471698113207547,483.284664824257,493767.033757786,238630035.410899,638335344.724155,457693553.351655
2049,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,526142.893668137,0.104395979042373,5039877,508.640279894759,0.0977136057524236,0.235849056603774,-0.0471698113207547,484.647813861988,492464.554218707,238671869.606615,638447251.197695,457805459.825195
