"year","fips","total_population","state_name","abbr","pack_sales_per_capita","tax_per_pack","baseline_price_per_pack","total_cigarette_consumption","baseline_state_tax_revenue","baseline_num_smokers","baseline_prev","census_total_pop","baseline_avg_smoking_intensity","policy_prev","pct_increase_price_per_pack","pct_reduction_intensity","policy_smoking_intensity","policy_num_smokers","policy_total_cig_consumption","policy_state_tax_revenue","revenue_gain"
2025,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,649716.550914008,0.128915160214031,5039877,411.898801598206,0.128915160214031,0,0,411.898801598206,649716.550914008,267617468.7,180641791.3725,0
2026,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,639472.723473082,0.12688260516538,5039877,418.49708185601,0.124114480794793,0.35377358490566,-0.0707547169811321,388.886439271858,625521.71712462,243256913.259812,893969156.229809,713327364.857309
2027,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,629795.637171002,0.124962501499739,5039877,424.927473143699,0.120131210837599,0.35377358490566,-0.0707547169811321,394.861850043909,605446.526482566,239067735.549565,878573928.144651,697932136.77215
2028,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,620663.207946094,0.1231504673519,5039877,431.179849673389,0.116786085625939,0.35377358490566,-0.0707547169811321,400.671841441781,588587.506866201,235830440.225708,866676867.829476,686035076.456976
2029,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,612056.673365492,0.121442779926076,5039877,437.242955343436,0.113945829709033,0.35377358490566,-0.0707547169811321,406.305953786117,574272.966396471,233330525.345301,857489680.643981,676847889.271481
2030,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,603959.328906757,0.119836124752004,5039877,443.105116340237,0.111510079273796,0.35377358490566,-0.0707547169811321,411.753339240692,561997.08380018,231404175.898255,850410346.426088,669768555.053588
2031,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,596355.82446519,0.118327456099661,5039877,448.754682558854,0.109402479956606,0.35377358490566,-0.0707547169811321,417.003172000445,551375.042476258,229925141.67448,844974895.653713,664333104.281213
2032,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,589231.492618662,0.116913863695217,5039877,454.180525060965,0.107564347782432,0.35377358490566,-0.0707547169811321,422.045110551935,542111.082408682,228795331.706601,840822844.021759,660181052.649259
2033,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,582571.975931915,0.115592498771679,5039877,459.372369005399,0.105950288789514,0.35377358490566,-0.0707547169811321,426.869607047469,533976.423613631,227938306.120564,837673274.993071,657031483.620571
2034,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,576362.925940659,0.114360514342048,5039877,464.321101610122,0.104524906045178,0.35377358490566,-0.0707547169811321,431.468193477331,526792.669904254,227294281.620688,835306484.95603,654664693.58353
2035,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,570589.758973905,0.113215016750192,5039877,469.019053516239,0.103260353761586,0.35377358490566,-0.0707547169811321,435.833743125939,520419.481934882,226816370.807342,833550162.716981,652908371.344481
2036,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,565237.484567157,0.112153031625009,5039877,473.460228677038,0.102134514090069,0.35377358490566,-0.0707547169811321,439.960684195172,514745.388468714,226467733.297005,832268919.866494,651627128.493994
2037,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,560290.60086506,0.111171483126485,5039877,477.640474937135,0.101129622450062,0.35377358490566,-0.0707547169811321,443.845158314224,509680.858204751,226219381.199617,831356225.908594,650714434.536093
2038,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,555733.022903314,0.110267179715559,5039877,481.557614305313,0.100231228380634,0.35377358490566,-0.0707547169811321,447.485141595032,505153.062597304,226048489.743519,830728199.807431,650086408.434931
2039,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,551548.035219751,0.109436804751336,5039877,485.211534827378,0.0994274055181518,0.35377358490566,-0.0707547169811321,450.880530004686,501101.894240607,225937087.661557,830318797.156221,649677005.783721
2040,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,547718.296830793,0.1086769174785,5039877,488.604215430611,0.0987081554204554,0.35377358490566,-0.0707547169811321,454.03316245203,497476.962215978,225871038.40195,830076066.127165,649434274.754665
2041,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,544225.867785454,0.107983958296096,5039877,491.739706877551,0.0980649536903832,0.35377358490566,-0.0707547169811321,456.946803089045,494235.304610227,225839242.415384,829959215.876536,649317424.504035
2042,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,541052.280424914,0.107354262896677,5039877,494.624047217447,0.0974904092029849,0.35377358490566,-0.0707547169811321,459.627062744515,491339.671062712,225833009.82041,829936311.090008,649294519.717508
2043,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,538178.605199785,0.106784075325605,5039877,497.265157169624,0.0969780015707061,0.35377358490566,-0.0707547169811321,462.081301709509,488757.199622166,225845563.021305,829982444.103294,649340652.730794
2044,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,535585.547880728,0.106269567269346,5039877,499.672684894023,0.0965218852583883,0.35377358490566,-0.0707547169811321,464.318485491144,486458.42951039,225871641.244665,830078281.574143,649436490.201643
2045,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,533253.54337944,0.105806856671193,5039877,501.857834837818,0.0961167403795244,0.35377358490566,-0.0707547169811321,466.349025769104,484416.549153737,225907185.764276,830208907.683716,649567116.311216
2046,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,531162.881633466,0.105392032709026,5039877,503.833151663395,0.0957576653965215,0.35377358490566,-0.0707547169811321,468.18457961174,482606.855405625,225949087.715826,830362897.35566,649721105.98316
2047,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,529293.856891198,0.105021185416072,5039877,505.612270416,0.095440102541481,0.35377358490566,-0.0707547169811321,469.837817320528,481006.377676452,225994986.604758,830531575.772485,649889784.399985
2048,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,527626.928299101,0.10469043754423,5039877,507.209648231398,0.095159786950263,0.35377358490566,-0.0707547169811321,471.322173120686,479593.62157553,226043107.935799,830708421.664061,650066630.291561
2049,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,526142.893668137,0.104395979042373,5039877,508.640279894759,0.0949127277810974,0.35377358490566,-0.0707547169811321,472.651580845602,478348.473751214,226092162.313592,830888696.502451,650246905.129951
2050,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,524823.051316133,0.104134099168716,5039877,509.919425278441,0.0946951763224737,0.35377358490566,-0.0707547169811321,473.840220659683,477252.04115858,226141212.492866,831068955.911281,650427164.538781
2051,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,523649.419339557,0.103901229998184,5039877,511.062284834628,0.094503624742633,0.35377358490566,-0.0707547169811321,474.902217511423,476286.644757027,226189583.766187,831246720.340739,650604928.968239
2052,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,522605.08659566,0.10369401606342,5039877,512.083551354822,0.0943348414221636,0.35377358490566,-0.0707547169811321,475.851224608019,475435.99758221,226236801.67223,831420246.145443,650778454.772943
2053,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,521674.321541436,0.103509335950349,5039877,512.997204672156,0.0941858723447956,0.35377358490566,-0.0707547169811321,476.700232643466,474685.211755471,226282550.876246,831588374.470204,650946583.097703
2054,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,520842.585447011,0.103344304919944,5039877,513.816412439314,0.0940540269058176,0.35377358490566,-0.0707547169811321,477.46147759691,474020.726960011,226326636.705888,831750389.894139,651108598.521639
2055,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,520096.592691908,0.103196286872062,5039877,514.553397311968,0.0939368758694162,0.35377358490566,-0.0707547169811321,478.146317313479,473430.300146126,226368954.519485,831905907.859108,651264116.486608
2056,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,519424.49504528,0.103062930909877,5039877,515.219192111206,0.0938322748826727,0.35377358490566,-0.0707547169811321,478.76500399013,472903.12403886,226409466.06741,832054787.797731,651412996.42523
2057,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,518816.497872482,0.10294229360607,5039877,515.822973628292,0.0937384692261242,0.35377358490566,-0.0707547169811321,479.326065116856,472430.355067951,226448183.13648,832197073.026565,651555281.654065
2058,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,518264.694500666,0.10283280613806,5039877,516.372177267143,0.093654060044057,0.35377358490566,-0.0707547169811321,479.836410007676,472004.943172662,226485157.437847,832332953.584088,651691162.211588
2059,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,517762.723612481,0.1027332063089,5039877,516.872800020841,0.093577944645535,0.35377358490566,-0.0707547169811321,480.301611340121,471621.330926305,226520485.186277,832462783.059567,651820991.687067
2060,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,517305.468022681,0.10264247877928,5039877,517.329673167627,0.0935092506075052,0.35377358490566,-0.0707547169811321,480.72615855671,471275.121424002,226554278.745508,832586974.38974,651945183.01724
2061,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,516890.57086316,0.102560155905225,5039877,517.744922785307,0.093447608242519,0.35377358490566,-0.0707547169811321,481.112027305215,470964.451486482,226586662.04335,832705983.009311,652064191.636811
2062,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,516512.196338697,0.102485079762601,5039877,518.124200351918,0.0933920152553991,0.35377358490566,-0.0707547169811321,481.464469194943,470684.269669335,226617752.054756,832820238.801227,652178447.428727
2063,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,516163.378867099,0.102415868257717,5039877,518.474342924871,0.0933412631161677,0.35377358490566,-0.0707547169811321,481.789837529243,470428.485130122,226647663.419969,832930163.068387,652288371.695887
2064,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,515836.360934726,0.102350982163796,5039877,518.803033223678,0.0932939980818174,0.35377358490566,-0.0707547169811321,482.095271438984,470190.275170596,226676508.336339,833036168.136045,652394376.763545
2065,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,515522.879404577,0.102288781929515,5039877,519.11850936489,0.0932487725729667,0.35377358490566,-0.0707547169811321,482.38842615511,469962.344168726,226704395.555718,833138653.667263,652496862.294763
2066,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,515214.981723698,0.102227689628874,5039877,519.428739833344,0.0932041938152217,0.35377358490566,-0.0707547169811321,482.67670635457,469737.672712878,226731432.715713,833238015.230245,652596223.857744
2067,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,514906.973773759,0.102166575448916,5039877,519.739452621177,0.093159293665802,0.35377358490566,-0.0707547169811321,482.965434747037,469511.381482521,226757768.476388,833334799.150725,652693007.778225
2068,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,514595.6331046,0.102104799999008,5039877,520.053905404212,0.0931135425743601,0.35377358490566,-0.0707547169811321,483.257638512404,469280.801609038,226783531.984792,833429480.04411,652787688.67161
2069,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,514279.734753236,0.102042120225005,5039877,520.373350562626,0.0930667639916892,0.35377358490566,-0.0707547169811321,483.554481419044,469045.043306143,226808832.678075,833522460.091925,652880668.719425
2070,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,513959.607487169,0.101978601360146,5039877,520.697472722468,0.093019054128654,0.35377358490566,-0.0707547169811321,483.855670407199,468804.591464758,226833759.893154,833614067.607339,652972276.234839
2071,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,513636.812799978,0.101914553232148,5039877,521.02470467633,0.0929707241205102,0.35377358490566,-0.0707547169811321,484.159749156778,468561.014168305,226858383.084372,833704557.835067,653062766.462566
2072,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,513314.015066287,0.101850504499671,5039877,521.352351280417,0.0929222759796801,0.35377358490566,-0.0707547169811321,484.464213218123,468316.841497642,226882750.152952,833794106.812098,653152315.439598
2073,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,512994.811102764,0.101787168834232,5039877,521.676755608334,0.0928743726699418,0.35377358490566,-0.0707547169811321,484.765664409631,468075.414708669,226906889.405061,833882818.5636,653241027.1911
2074,"01",5039877,"Alabama","AL",53.1,0.675,8.48,267617468.7,180641791.3725,512683.476264476,0.101725394541271,5039877,521.993551752281,0.0928277930904312,0.35377358490566,-0.0707547169811321,485.060045732072,467840.659357223,226930811.623137,833970732.71503,653328941.34253
